Time,Position
0.237,0.603759983153
0.238,0.609946802556
0.239,0.616066474422
0.24,0.622118454155
0.241,0.62810220468
0.242,0.634017196176
0.243,0.639862906173
0.244,0.645638819643
0.245,0.65134442905
0.246,0.656979234388
0.247,0.662542743226
0.248,0.668034470749
0.249,0.673453939796
0.25,0.6788006809
0.251,0.684074232327
0.252,0.689274140117
0.253,0.694399958113
0.254,0.699451248083
0.255,0.70442757971
0.256,0.709328530538
0.257,0.714153686063
0.258,0.718902639773
0.259,0.723574993179
0.26,0.728170355845
0.261,0.732688345419
0.262,0.737128587663
0.263,0.741490716485
0.264,0.745774373963
0.265,0.749979210372
0.266,0.754104884216
0.267,0.758151062257
0.268,0.762117419575
0.269,0.766003639523
0.27,0.769809413774
0.271,0.773534442352
0.272,0.777178433648
0.273,0.780741104443
0.274,0.784222179928
0.275,0.787621393721
0.276,0.790938487887
0.277,0.794173212953
0.278,0.797325327924
0.279,0.800394600298
0.28,0.803380806085
0.281,0.806283729891
0.282,0.809103164835
0.283,0.811838912568
0.284,0.814490783298
0.285,0.81705859581
0.286,0.819542177469
0.287,0.82194136423
0.288,0.824256000647
0.289,0.826485939875
0.29,0.828631043684
0.291,0.830691182454
0.292,0.832666235187
0.293,0.834556089504
0.294,0.836360641671
0.295,0.83807979666
0.296,0.839713467976
0.297,0.841261577778
0.298,0.842724056853
0.299,0.844100844617
0.3,0.845391889107
0.301,0.846597146983
0.302,0.847716583517
0.303,0.848750172595
0.304,0.849697896704
0.305,0.850559746928
0.306,0.851335722939
0.307,0.852025832994
0.308,0.852630093953
0.309,0.853148531242
0.31,0.853581178844
0.311,0.853928079299
0.312,0.854189283662
0.313,0.854364851454
0.314,0.854454850714
0.315,0.854459357957
0.316,0.85437845815
0.317,0.854212244747
0.318,0.85396081965
0.319,0.85362429316
0.32,0.853202783979
0.321,0.852696419187
0.322,0.852105334202
0.323,0.851429672774
0.324,0.85066958697
0.325,0.84982523714
0.326,0.848896791897
0.327,0.847884428093
0.328,0.846788330791
0.329,0.845608693237
0.33,0.844345716831
0.331,0.842999611105
0.332,0.84157059369
0.333,0.840058890284
0.334,0.838464734625
0.335,0.836788368467
0.336,0.835030041508
0.337,0.833190011432
0.338,0.831268543806
0.339,0.829265912074
0.34,0.827182397522
0.341,0.825018289237
0.342,0.822773884074
0.343,0.820449486616
0.344,0.818045409136
0.345,0.815561971561
0.346,0.812999501429
0.347,0.810358333848
0.348,0.807638811462
0.349,0.804841284399
0.35,0.801966110234
0.351,0.79901365395
0.352,0.795984287883
0.353,0.792878391687
0.354,0.789696352288
0.355,0.786438563832
0.356,0.783105427643
0.357,0.779697352167
0.358,0.776214752887
0.359,0.772658052354
0.36,0.769027680118
0.361,0.765324072672
0.362,0.761547673407
0.363,0.75769893256
0.364,0.75377830717
0.365,0.74978626102
0.366,0.745723264592
0.367,0.741589794805
0.368,0.73738633516
0.369,0.733113375751
0.37,0.728771413125
0.371,0.724360950223
0.372,0.719882496324
0.373,0.71533656698
0.374,0.710723683958
0.375,0.706044375178
0.376,0.701299174727
0.377,0.696488622886
0.378,0.691613265799
0.379,0.686673655527
0.38,0.681670349992
0.381,0.676603912917
0.382,0.671474913754
0.383,0.666283927626
0.384,0.661031535256
0.385,0.65571832292
0.386,0.650344882597
0.387,0.644911811615
0.388,0.639419712605
0.389,0.633869193497
0.39,0.628260867447
0.391,0.622595352771
0.392,0.616873272878
0.393,0.6110952562
0.394,0.605261936125
0.395,0.59937395098
0.396,0.593431943959
0.397,0.587436562957
0.398,0.581388460556
0.399,0.575288293951
0.4,0.569136724882
0.401,0.56293441956
0.402,0.556682048596
0.403,0.550380286926
0.404,0.544029813759
0.405,0.537631312563
0.406,0.531185470882
0.407,0.52469298029
0.408,0.518154536332
0.409,0.511570838445
0.41,0.504942589888
0.411,0.498270497662
0.412,0.491555272439
0.413,0.484797628482
0.414,0.477998283645
0.415,0.47115795924
0.416,0.464277379913
0.417,0.457357273606
0.418,0.450398371482
0.419,0.443401407847
0.42,0.436367120072
0.421,0.429296248514
0.422,0.422189536439
0.423,0.41504772997
0.424,0.407871578057
0.425,0.400661832285
0.426,0.393419246841
0.427,0.386144578438
0.428,0.378838586238
0.429,0.371502031771
0.43,0.36413567886
0.431,0.356740293535
0.432,0.349316643997
0.433,0.341865500503
0.434,0.334387635269
0.435,0.326883822409
0.436,0.319354837853
0.437,0.311801459268
0.438,0.304224465975
0.439,0.296624638872
0.44,0.289002760369
0.441,0.281359614353
0.442,0.273695986014
0.443,0.266012661798
0.444,0.25831042933
0.445,0.250590077337
0.446,0.242852395563
0.447,0.235098174691
0.448,0.227328206259
0.449,0.219543282635
0.45,0.211744196886
0.451,0.203931742682
0.452,0.196106714231
0.453,0.188269906204
0.454,0.180422113648
0.455,0.172564131912
0.456,0.164696756561
0.457,0.156820783312
0.458,0.148937008001
0.459,0.141046226407
0.46,0.133149234212
0.461,0.125246826917
0.462,0.117339799771
0.463,0.109428947682
0.464,0.101515065142
0.465,0.0935989461464
0.466,0.0856813841643
0.467,0.077763172017
0.468,0.0698451017741
0.469,0.061927964698
0.47,0.0540125511637
0.471,0.0460996505809
0.472,0.0381900513141
0.473,0.0302845406044
0.474,0.0223839045058
0.475,0.01448892785
0.476,0.00660039408313
0.477,-0.00128091478171
0.478,-0.00915421823725
0.479,-0.0170187373596
0.48,-0.0248736948852
0.481,-0.0327183152883
0.482,-0.0405518248566
0.483,-0.0483734516856
0.484,-0.0561824258354
0.485,-0.0639779794445
0.486,-0.0717593467644
0.487,-0.0795257642347
0.488,-0.0872764705592
0.489,-0.0950107067809
0.49,-0.102727716357
0.491,-0.110426745235
0.492,-0.118107041928
0.493,-0.125767857586
0.494,-0.133408446076
0.495,-0.141028063827
0.496,-0.148625970058
0.497,-0.156201427057
0.498,-0.163753700096
0.499,-0.171282057507
0.5,-0.178785770746
0.501,-0.18626411447
0.502,-0.193716366607
0.503,-0.201141808424
0.504,-0.2085397246
0.505,-0.215909403297
0.506,-0.223250136228
0.507,-0.23056121855
0.508,-0.237841948969
0.509,-0.245091630113
0.51,-0.25230956841
0.511,-0.259495074162
0.512,-0.266647461606
0.513,-0.273766048985
0.514,-0.280850158606
0.515,-0.287899116915
0.516,-0.294912254554
0.517,-0.301888906431
0.518,-0.308828411782
0.519,-0.315730114099
0.52,-0.322593361142
0.521,-0.32941750536
0.522,-0.336201903764
0.523,-0.342945917985
0.524,-0.349648914334
0.525,-0.356310263861
0.526,-0.362929342415
0.527,-0.369505530704
0.528,-0.376038214353
0.529,-0.382526783961
0.53,-0.388970635163
0.531,-0.395369168588
0.532,-0.40172178981
0.533,-0.408027909761
0.534,-0.414286944623
0.535,-0.420498315873
0.536,-0.426661450334
0.537,-0.432775780228
0.538,-0.43884074323
0.539,-0.444855782522
0.54,-0.450820346841
0.541,-0.45673389053
0.542,-0.462595873593
0.543,-0.468405761678
0.544,-0.474163025979
0.545,-0.479867143635
0.546,-0.48551759764
0.547,-0.491113876873
0.548,-0.496655476142
0.549,-0.502141896229
0.55,-0.507572643937
0.551,-0.512947232134
0.552,-0.518265179796
0.553,-0.523526012052
0.554,-0.528729260225
0.555,-0.533874461836
0.556,-0.538961160488
0.557,-0.543988906214
0.558,-0.548957255414
0.559,-0.553865770873
0.56,-0.558714021794
0.561,-0.563501583841
