62677,-3.11,-1.05,-2.65,236.05,-271.84,-168.11,0.25,-0.7,-0.41,-54.75,14.59,79.74
62682,1.34,1.69,-2.77,238.66,-500,-204.65,0.26,-0.73,-0.39,-59.75,16.66,71.12
62687,2.68,-0.44,-1.04,172.91,-500,-297.99,0.29,-0.78,-0.37,-63.78,19.76,62.41
62692,2.04,-0.98,-1.12,99.41,-423.75,-332.92,0.32,-0.83,-0.36,-67.44,21.82,55.11
62697,0.98,-0.5,-2.06,48.52,-202.55,-355.39,0.32,-0.88,-0.37,-69.49,20.71,50
62702,0.66,-0.66,-2.23,32.7,-56.73,-339.49,0.32,-0.92,-0.37,-70.28,17.75,45.35
62707,0.65,-0.38,-2.17,27.31,14.05,-298.36,0.34,-0.93,-0.37,-68.86,15.26,38.76
62712,0.52,0.08,-2.07,27.95,56.15,-232.51,0.35,-0.93,-0.36,-65.61,13.9,29.62
62717,0.15,0.87,-2.11,-0.7,80.57,-131.33,0.36,-0.92,-0.36,-61.39,12.76,18.98
62722,-0.17,1.13,-2.3,-57.53,119.43,-56.96,0.37,-0.93,-0.36,-56.47,10.86,7.9
62727,-0.28,1.26,-2.25,-138.55,119.64,4.27,0.37,-0.95,-0.38,-50.46,6.65,-2.66
62732,-0.24,1.12,-2.18,-225.86,122.02,46.92,0.37,-0.96,-0.4,-44.3,0.56,-12.86
62737,-0.26,0.85,-2.15,-304.86,124.97,77.94,0.39,-0.95,-0.42,-37.51,-6.39,-23.18
62742,-0.31,0.52,-2.15,-357.54,114.53,98.45,0.41,-0.95,-0.44,-29.95,-12.99,-34.23
62747,-0.26,0.22,-2.08,-374.95,83.66,111.53,0.42,-0.94,-0.45,-22.66,-18.6,-45.99
62752,-0.15,-0.02,-1.99,-361.69,48.29,119.13,0.45,-0.94,-0.46,-15.93,-22.38,-57.72
62756,-0.05,-0.28,-1.86,-326.9,21.67,123.9,0.46,-0.94,-0.46,-9.72,-24.03,-68.82
62761,0.01,-0.4,-1.82,-277.65,7.72,132.52,0.47,-0.94,-0.47,-3.95,-24.67,-79.06
